budget;genres;id;popularity;release_date;revenue;runtime;tagline;title;vote_average;vote_count
270000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]";1452;57.925623;2006-06-28;391081192;154;;Superman Returns;5.4;1400
200000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]";10764;107.928811;2008-10-30;586090727;106;For love, for hate, for justice, for revenge.;Quantum of Solace;6.1;2965
200000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]";58;145.847379;2006-06-20;1065659812;151;Jack is back!;Pirates of the Caribbean: Dead Man's Chest;7;5246
255000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]";57201;49.046956;2013-07-03;89289910;149;Never Take Off the Mask;The Lone Ranger;5.9;2311
225000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]";49521;99.398009;2013-06-12;662845518;143;You will believe that a man can fly.;Man of Steel;6.5;6359
225000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]";2454;53.978602;2008-05-15;419651413;150;Hope has a new face.;The Chronicles of Narnia: Prince Caspian;6.3;1630
220000000;"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";24428;144.448633;2012-04-25;1519557910;143;Some assembly required.;The Avengers;7.4;11776
380000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]";1865;135.413856;2011-05-14;1045713802;136;Live Forever Or Die Trying.;Pirates of the Caribbean: On Stranger Tides;6.4;4948
225000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]";41154;52.035179;2012-05-23;624026776;106;They are back... in time.;Men in Black 3;6.2;4160
250000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";122917;120.965743;2014-12-10;956019788;144;Witness the defining chapter of the Middle-Earth saga;The Hobbit: The Battle of the Five Armies;7.1;4760
215000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";1930;89.866276;2012-06-27;752215857;136;The untold story begins.;The Amazing Spider-Man;6.5;6586
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";20662;37.668301;2010-05-12;310669540;140;Rise and rise again, until lambs become lions.;Robin Hood;6.2;1398
250000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";57158;94.370564;2013-12-11;958400000;161;Beyond darkness... beyond desolation... lies the greatest danger of all.;The Hobbit: The Desolation of Smaug;7.6;4524
180000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";2268;42.990906;2007-12-04;372234864;113;There are worlds beyond our own - the compass will show the way.;The Golden Compass;5.8;1303
207000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]";254;61.22601;2005-12-14;550000000;187;The eighth wonder of the world.;King Kong;6.6;2337
200000000;"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]";597;100.025899;1997-11-18;1845034188;194;Nothing on Earth could come between them.;Titanic;7.5;7562
250000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]";271110;198.372395;2016-04-27;1153304495;147;Divided We Fall;Captain America: Civil War;7.1;7241
209000000;"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]";44833;64.928382;2012-04-11;303025485;131;The Battle for Earth Begins at Sea;Battleship;5.5;2114
150000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]";135397;418.708552;2015-06-09;1513528810;124;The park is open.;Jurassic World;6.5;8662
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]";37724;93.004993;2012-10-25;1108561013;143;Think on your sins.;Skyfall;6.9;7604
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";558;35.149586;2004-06-25;783766341;127;There's a hero in all of us.;Spider-Man 2;6.7;4321
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]";68721;77.68208;2013-04-18;1215439994;130;Unleash the power behind the armor.;Iron Man 3;6.8;8806
200000000;"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]";12155;78.530105;2010-03-03;1025491110;108;You're invited to a very important date.;Alice in Wonderland;6.4;4645
210000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]";36668;3.857526;2006-05-24;459359555;104;Take a Stand;X-Men: The Last Stand;6.3;3525
200000000;"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]";62211;89.186492;2013-06-20;743559607;104;School never looked this scary.;Monsters University;7;3528
150000000;"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";8373;21.939663;2009-06-19;836297228;150;Revenge is coming.;Transformers: Revenge of the Fallen;6;3138
210000000;"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";91314;116.840296;2014-06-25;1091405097;165;This is not war. It's extinction.;Transformers: Age of Extinction;5.8;3095
200000000;"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]";68728;46.985445;2013-03-07;491868548;130;In Oz, nothing is what it seems;Oz: The Great and Powerful;5.7;3530
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";102382;89.270217;2014-04-16;705717432;142;No more secrets.;The Amazing Spider-Man 2;6.5;4179
170000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]";20526;73.79505;2010-12-10;400062763;125;The Game Has Changed.;TRON: Legacy;6.3;2841
200000000;"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]";49013;49.98659;2011-06-11;559852396;106;Ka-ciao!;Cars 2;5.8;2033
200000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]";44912;51.872839;2011-06-16;219851172;114;In our darkest hour, there will be light.;Green Lantern;5.1;2487
200000000;"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]";10193;59.995418;2010-06-16;1066969703;103;No toy gets left behind.;Toy Story 3;7.6;4597
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]";534;71.862892;2009-05-20;371353001;115;The End Begins.;Terminator Salvation;5.9;2463
190000000;"[{""id"": 28, ""name"": ""Action""}]";168259;102.322217;2015-04-01;1506249360;137;Vengeance Hits Home;Furious 7;7.3;4176
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]";72190;81.834855;2013-06-20;531865000;116;Remember Philly!;World War Z;6.7;5560
250000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]";127585;118.078691;2014-05-15;747862775;131;To save the future, they must alter the past;X-Men: Days of Future Past;7.5;6032
190000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]";54138;78.291018;2013-05-05;467365246;132;Earth Will Fall;Star Trek Into Darkness;7.4;4418
